"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"7c9fd2d0d3a41aebdeba5a7b9c851978","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"9e17ce6b5ebaa3772888090798efe47c","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Asterohyptis mociniana","Tropicos, 2022","1932","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Asterohyptis","","mociniana","","(Benth.) Epling, 1932","sinónimo"
"d904e003852f99578bbb1135ee930ef1","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Hyptis rhytidea","Martínez-Gordillo, Bedolla-García, Cornejo-Tenorio, Fragoso-Martínez, García-Peña, González-Gallegos, Lara-Cabrera & Zamudio, 2017","1839","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Hyptis","","rhytidea","","Benth., 1839","aceptado"
"3c81c08c14eb88851e9769b94b113668","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Adenophyllum squamosum","Castelo, Ricalde & Panero, 2005","1986","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Adenophyllum","","squamosum","","(A. Gray) Strother, 1986","aceptado"
"40264f59029f781d2e7c638e22b8e686","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"f0b19b5db43922844d6492f5f4c51696","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"d24eff8e84388664fa9f2fae25dffac8","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Cuphea hookeriana","Graham, 1994","1843","Plantae","Tracheophyta","Equisetopsida","Myrtales","Lythraceae","Cuphea","","hookeriana","","Walp., 1843","aceptado"
"92d6bb953f592d0bf39e8d2f99917a55","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"20dcbd398c05e1253254231972bcd82e","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"f1fbafc5dfafad999ebc7c2e8b37ad53","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"c6eeda3dfba378bf4e6e32bc6854fe8a","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"7f06831f923ae2ddda131722d6306c67","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Carpinus caroliniana","Christenhusz, 2009b","1788","Plantae","Tracheophyta","Equisetopsida","Fagales","Betulaceae","Carpinus","","caroliniana","","Walter, 1788","aceptado"
